row ID,row m/z,row retention time,6p.mzML Peak area,7p.mzML Peak area,1p.mzML Peak area,4p.mzML Peak area,5p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,9p.mzML Peak area,11p.mzML Peak area,8p.mzML Peak area,12p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area,13p.mzML Peak area,18p.mzML Peak area,16p.mzML Peak area,20p.mzML Peak area,17p.mzML Peak area,19p.mzML Peak area
,,,DSM43815,DSM43815,DSM43168,DSM43168,DSM43168,DSM43168,DSM43168,DSM43815,2M254,DSM43815,2M254,2M254,DSM43815,2M254,2M254,CT,CT,CT,CT,CT
4324,246.2301964,18.89836,8782.062,12942.948,15325.479,22376.123,5135.2812,20000.459,14230.518,17249.738,7716.4385,9256.189,20760.86,14920.362,21136.99,12065.777,17621.596,18947.03,21483.416,13271.128,27116.879,19426.074
4325,496.3409251,19.22154,0,15995.015,135275.03,113478.555,58249.836,42555.3,31099.514,35764.777,0,0,0,11222.594,0,13551.465,0,0,0,0,0,0
4326,156.1385311,18.914711,0,0,4797.4917,19363.492,0,8663.053,3060.5408,0,0,0,0,4495.3687,3620.2427,0,3356.2976,4375.7334,0,2994.7378,17964,6163.951
4327,184.1699255,18.915205,5673.493,7269.708,13323.228,45134.258,4372.718,34877.28,8058.199,0,16442.541,7266.964,10461.741,12859.625,17905.408,11408.613,8493.514,15626.669,17832.506,10460.258,23554.707,17021.012
4328,179.1798221,18.962132,0,0,0,4501.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4329,182.1544318,18.94888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4330,224.2014259,18.941383,0,0,8690.222,27304.297,3220.2375,5472.9067,0,0,8915.269,0,11126.337,0,0,4911.9517,9895.805,4448.3213,9637.227,4221.202,18648.797,10354.08
4331,210.1857669,18.950253,0,0,13218.397,24447.281,0,5433.617,0,0,0,0,8320.172,0,6725.523,4398.21,4512.2437,0,6495.6396,0,17318.256,8981.909
4332,281.2644132,18.927057,220412.88,458448.4,462400.2,871359.7,162802.66,365912.72,154836.3,0,192256.45,297760.25,321467.2,0,0,220400.14,544711.75,382336.62,409333.5,224861.08,483610.1,425495.62
4333,281.2651876,19.03897,220412.88,458448.4,356918.44,871359.7,405779.06,365912.72,803815.5,0,192256.45,297760.25,277677.16,894349.2,531407.94,0,569453.25,709531.6,426343.28,224861.08,483610.1,676678.1
4334,559.5216586,18.96342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4335,814.5610502,19.184656,0,0,0,0,0,4530.6235,0,0,0,0,0,0,5422.9014,0,0,20653.68,33458.32,4813.9243,26322.05,6729.423
4336,257.2647459,19.308052,712631.75,274854.38,653772.6,530637.56,347711.75,767422.4,0,409573.97,342711.88,374551.8,508134.03,281569.12,803693.75,237924.53,313755.9,556932.25,796303.75,446537.38,282314.56,374432.28
